Time (s),X (in),Y (in)
89.647000,2.810179,-0.749886
89.696000,2.809064,-0.745588
89.727000,2.808747,-0.742771
89.759000,2.809461,-0.740795
89.792000,2.809649,-0.737126
89.823000,2.809202,-0.734175
89.856000,2.809239,-0.732862
89.888000,2.809578,-0.730275
89.920000,2.809214,-0.725997
89.952000,2.808207,-0.724946
89.983000,2.809143,-0.719678
90.015000,2.809911,-0.716526
90.048000,2.809415,-0.714434
90.096000,2.809156,-0.712463
90.128000,2.808887,-0.707987
90.160000,2.808564,-0.705189
90.192000,2.808094,-0.702512
90.223000,2.808986,-0.696654
90.256000,2.808443,-0.693258
90.287000,2.808456,-0.691137
90.320000,2.809115,-0.686769
90.351000,2.809505,-0.682701
90.383000,2.809417,-0.681141
90.416000,2.809352,-0.680392
90.448000,2.809120,-0.676792
90.495000,2.809059,-0.673226
90.527000,2.808954,-0.671507
90.559000,2.809629,-0.665268
90.592000,2.810048,-0.662265
90.623000,2.809944,-0.660694
90.656000,2.809991,-0.658686
90.688000,2.809227,-0.653747
90.719000,2.809944,-0.650681
90.751000,2.809906,-0.647882
90.784000,2.808914,-0.642432
90.815000,2.809704,-0.638501
90.848000,2.810461,-0.634845
90.895000,2.810975,-0.630074
90.928000,2.810872,-0.628214
90.959000,2.810553,-0.627594
90.991000,2.811379,-0.624831
91.023000,2.810600,-0.621051
91.056000,2.810776,-0.616415
91.088000,2.810833,-0.611058
91.120000,2.811052,-0.609557
91.151000,2.811381,-0.606635
91.183000,2.811674,-0.602892
91.215000,2.810013,-0.596340
91.248000,2.809724,-0.594644
91.295000,2.810064,-0.592448
91.327000,2.810489,-0.588169
91.360000,2.809335,-0.580245
91.391000,2.809690,-0.579305
91.424000,2.810541,-0.573616
91.456000,2.810534,-0.574441
91.487000,2.810056,-0.570528
91.520000,2.808816,-0.565250
91.552000,2.810345,-0.567365
91.583000,2.809748,-0.561408
91.615000,2.810044,-0.554250
91.648000,2.810395,-0.549976
91.695000,2.810871,-0.549385
91.728000,2.810778,-0.549156
91.759000,2.810504,-0.545398
91.791000,2.809193,-0.544698
91.823000,2.809344,-0.542856
91.855000,2.810489,-0.539635
91.888000,2.810560,-0.534236
91.919000,2.809530,-0.533438
91.952000,2.810429,-0.528285
91.983000,2.810918,-0.526834
92.016000,2.811362,-0.525205
92.048000,2.810880,-0.523744
92.096000,2.810331,-0.522053
92.128000,2.810497,-0.519765
92.159000,2.811505,-0.515701
92.191000,2.810963,-0.512176
92.224000,2.810901,-0.509591
92.255000,2.811769,-0.505675
92.288000,2.812801,-0.504430
92.319000,2.812324,-0.501428
92.351000,2.811593,-0.500525
92.383000,2.811233,-0.496633
92.416000,2.811077,-0.492633
92.448000,2.811206,-0.487581
92.495000,2.810750,-0.485085
92.528000,2.811167,-0.485136
92.559000,2.812215,-0.479933
92.592000,2.812385,-0.478466
92.623000,2.812276,-0.478758
92.656000,2.811694,-0.477395
92.687000,2.812514,-0.470021
92.720000,2.812784,-0.460508
92.751000,2.812207,-0.460730
92.784000,2.813831,-0.451712
92.815000,2.814131,-0.449530
92.848000,2.814602,-0.448772
92.895000,2.813443,-0.445441
92.928000,2.813397,-0.445591
92.960000,2.813388,-0.438805
92.992000,2.814266,-0.432029
93.023000,2.814695,-0.427857
93.055000,2.813990,-0.425343
93.088000,2.813757,-0.423177
93.120000,2.814497,-0.420255
93.152000,2.814862,-0.418073
93.183000,2.814499,-0.415757
93.216000,2.813720,-0.413013
93.247000,2.814198,-0.408552
93.295000,2.814600,-0.404256
93.328000,2.814691,-0.399536
93.360000,2.814546,-0.398195
93.392000,2.815217,-0.396568
93.423000,2.815859,-0.394201
93.455000,2.814399,-0.392408
93.487000,2.813581,-0.388655
93.520000,2.814050,-0.384217
93.552000,2.815665,-0.379557
93.583000,2.815433,-0.377081
93.615000,2.813595,-0.373809
93.648000,2.814547,-0.369560
93.696000,2.816063,-0.366397
93.728000,2.817225,-0.364045
93.759000,2.815723,-0.360856
93.791000,2.814846,-0.358495
93.823000,2.815292,-0.354144
93.856000,2.816286,-0.351166
93.888000,2.816378,-0.346875
93.919000,2.815299,-0.346776
93.951000,2.816833,-0.344311
93.984000,2.817214,-0.341996
94.015000,2.816116,-0.339245
94.047000,2.814854,-0.335472
94.096000,2.815710,-0.331216
94.128000,2.817659,-0.326955
94.159000,2.816592,-0.322407
94.191000,2.815191,-0.320425
94.223000,2.816667,-0.315493
94.255000,2.818664,-0.312430
94.287000,2.818774,-0.310865
94.319000,2.816822,-0.307379
94.352000,2.816095,-0.304610
94.383000,2.817518,-0.300104
94.415000,2.818021,-0.297798
94.448000,2.817879,-0.294868
94.495000,2.817159,-0.293597
94.528000,2.818434,-0.291195
94.559000,2.818574,-0.289032
94.591000,2.817193,-0.285703
94.623000,2.816667,-0.280013
94.656000,2.817542,-0.277382
94.688000,2.818731,-0.273534
94.719000,2.817906,-0.267836
94.758000,2.816508,-0.265835
94.784000,2.816435,-0.264250
94.815000,2.815136,-0.262285
94.847000,2.814349,-0.259806
